name,birthday,nationality
Brad Pitt,1963-12-18,USA
Leonardo DiCaprio,1974-11-11,USA
Meryl Streep,1949-06-22,USA
Natalie Portman,1981-06-09,USA
Cate Blanchett,1969-05-14,AUS
Hugh Jackman,1968-10-12,AUS
Tom Hanks,1956-07-09,USA
Emma Watson,1990-04-15,ENG
Daniel Craig,1968-03-02,ENG
Johnny Depp,1963-06-09,USA
Charlize Theron,1975-08-07,USA
Nicole Kidman,1967-06-20,AUS
Keira Knightley,1985-03-26,ENG
Will Smith,1968-09-25,USA
Matt Damon,1970-10-08,USA
Ryan Reynolds,1976-10-23,USA
Julianne Moore,1960-12-03,USA
Benicio del Toro,1967-02-19,USA
Marion Cotillard,1975-09-30,ENG
Sônia Braga,1950-06-08,BRA
